date,number_of_strikes,center_point_geom
2019-12-01,1,POINT(-79.7 35.3)
2019-12-01,1,POINT(-84.7 39.3)
2019-12-01,1,POINT(-83.4 38.9)
2019-12-01,1,POINT(-71.5 35.2)
2019-12-01,1,POINT(-87.8 41.6)
2019-12-01,1,POINT(-85.4 36.8)
2019-12-01,1,POINT(-84 40.9)
2019-12-01,1,POINT(-54.7 40.9)
2019-12-01,1,POINT(-82.3 35.7)
2019-12-01,1,POINT(-55.7 40.7)
2019-12-01,1,POINT(-70.1 35.4)
2019-12-01,1,POINT(-73.9 35)
2019-12-01,1,POINT(-81.7 33.6)
2019-12-01,1,POINT(-88.2 33.6)
2019-12-01,1,POINT(-76.6 33.4)
2019-12-01,1,POINT(-89.3 33.4)
2019-12-01,1,POINT(-88.1 33.3)
2019-12-01,1,POINT(-76.9 33.2)
2019-12-01,1,POINT(-79.8 31.7)
2019-12-01,1,POINT(-78 33.2)
2019-12-01,1,POINT(-85.6 33.9)
2019-12-01,1,POINT(-79 31.4)
2019-12-01,1,POINT(-74.6 34.4)
2019-12-01,1,POINT(-82 41)
2019-12-01,1,POINT(-77.3 32.8)
2019-12-01,1,POINT(-85 39.8)
2019-12-01,1,POINT(-84.8 39.4)
2019-12-01,1,POINT(-88.3 42.5)
2019-12-01,1,POINT(-82 39.2)
2019-12-01,1,POINT(-84.4 38.5)
2019-12-01,1,POINT(-71.5 35.1)
2019-12-01,1,POINT(-83 38.3)
2019-12-01,1,POINT(-83.1 41.4)
2019-12-01,1,POINT(-80 40.9)
2019-12-01,1,POINT(-82.2 40.9)
2019-12-01,1,POINT(-85.6 40.8)
2019-12-01,1,POINT(-85.5 40.8)
2019-12-01,1,POINT(-83.7 34.9)
2019-12-01,1,POINT(-83.4 40.5)
2019-12-01,1,POINT(-73.8 35.5)
2019-12-01,1,POINT(-84.9 40.6)
2019-12-01,1,POINT(-78.6 33.7)
2019-12-01,1,POINT(-72.5 34.7)
2019-12-01,1,POINT(-83.7 35)
2019-12-01,1,POINT(-81.5 33.6)
2019-12-01,1,POINT(-86.6 34.3)
2019-12-01,1,POINT(-76.5 33.5)
2019-12-01,1,POINT(-74 34)
2019-12-01,1,POINT(-77.7 32.3)
2019-12-01,1,POINT(-89.7 34.2)
2019-12-01,1,POINT(-86.5 34.6)
2019-12-01,1,POINT(-79.5 31.8)
2019-12-01,1,POINT(-84.7 33.2)
2019-12-01,1,POINT(-90.3 34.1)
2019-12-01,1,POINT(-86.1 31.1)
2019-12-01,1,POINT(-78.8 34.4)
2019-12-01,1,POINT(-85.3 40.4)
2019-12-01,1,POINT(-85.3 44.2)
2019-12-01,1,POINT(-74.3 35.1)
2019-12-01,1,POINT(-89.1 37.4)
2019-12-01,1,POINT(-84.5 36.5)
2019-12-01,1,POINT(-86.3 36.1)
2019-12-01,1,POINT(-86.1 41.3)
2019-12-01,1,POINT(-82.6 35.9)
2019-12-01,1,POINT(-86.7 36.1)
2019-12-01,1,POINT(-87.7 34.9)
2019-12-01,1,POINT(-83.8 35.7)
2019-12-01,1,POINT(-87.3 35.6)
